energy,tempo,danceability,playlist_genre,loudness,valence,speechiness,track_popularity,duration_ms
0.592,157.969,0.521,pop,-7.777,0.535,0.0304,100,251668
0.507,104.978,0.747,pop,-10.171,0.438,0.0358,97,210373
0.808,108.548,0.554,pop,-4.169,0.372,0.0368,93,166300
0.91,112.966,0.67,pop,-4.07,0.786,0.0634,81,157280
0.783,149.027,0.777,pop,-4.477,0.939,0.26,98,169917
0.582,116.712,0.7,pop,-5.96,0.785,0.0356,94,218424
0.561,150.069,0.669,pop,-6.538,0.841,0.0411,88,169698
0.247,148.101,0.467,pop,-12.002,0.126,0.0431,93,261467
0.416,94.926,0.492,pop,-10.439,0.297,0.0254,71,211979
0.722,119.973,0.769,pop,-5.485,0.57,0.0507,92,256000
0.667,130.019,0.776,pop,-6.622,0.618,0.0983,85,145219
0.586,107.071,0.669,pop,-6.073,0.579,0.054,88,186365
0.806,104.032,0.608,pop,-3.443,0.587,0.0486,79,181821
0.709,81.012,0.722,pop,-4.95,0.604,0.0273,86,171292
0.757,139.982,0.742,pop,-4.981,0.957,0.0421,88,184841
0.917,100.987,0.562,pop,-2.768,0.501,0.117,86,229997
0.787,109.939,0.734,pop,-3.951,0.672,0.116,82,155757
0.843,122.064,0.619,pop,-5.348,0.746,0.0284,86,204829
0.406,115.94,0.53,pop,-7.507,0.338,0.033,90,157147
0.782,119.992,0.727,pop,-8.529,0.655,0.042,86,177599
0.812,80.09,0.505,pop,-3.986,0.664,0.461,88,255916
0.76,103.969,0.701,pop,-5.478,0.69,0.0285,90,175459
0.725,116.988,0.894,pop,-4.984,0.838,0.0432,89,136627
0.563,105.008,0.833,pop,-5.593,0.343,0.204,82,182857
0.628,119.98,0.757,pop,-6.715,0.321,0.101,85,217333
0.855,127.986,0.638,pop,-4.86,0.731,0.0264,84,178206
0.62,117.038,0.741,pop,-5.505,0.934,0.0412,77,251424
0.339,97.989,0.705,pop,-10.612,0.457,0.0278,84,236907
0.651,112.648,0.694,pop,-6.968,0.471,0.0784,93,225881
0.601,123.994,0.635,pop,-6.129,0.332,0.0295,88,172533
0.691,167.029,0.836,pop,-4.222,0.703,0.363,70,149461
0.646,115.842,0.645,pop,-8.334,0.295,0.0427,81,228639
0.471,105.029,0.472,pop,-5.692,0.219,0.0603,85,180304
0.709,194.055,0.744,pop,-5.778,0.712,0.284,84,130880
0.904,167.033,0.739,pop,-2.655,0.788,0.0442,85,129883
0.604,159.92,0.561,pop,-4.409,0.242,0.0337,89,210689
0.668,90.969,0.646,pop,-5.203,0.64,0.0282,82,148318
0.668,128.027,0.924,pop,-6.795,0.787,0.0469,93,195824
0.454,159.982,0.689,pop,-7.643,0.912,0.0584,89,159246
0.386,192.004,0.504,pop,-10.976,0.281,0.0308,84,228965
0.681,155.079,0.56,pop,-6.304,0.388,0.244,89,223320
0.472,101.061,0.898,pop,-7.001,0.214,0.0776,88,274192
0.711,146.921,0.487,pop,-4.22,0.317,0.0322,85,151647
0.712,91.98,0.848,pop,-3.574,0.692,0.0981,84,298131
0.645,114.933,0.882,pop,-7.233,0.788,0.0601,87,104419
0.872,184.115,0.466,pop,-3.344,0.806,0.0336,89,190428
0.756,116.034,0.66,pop,-3.743,0.838,0.032,92,170888
0.508,147.125,0.579,rock,-9.484,0.609,0.027,81,391376
0.89,133.52,0.502,rock,-5.175,0.259,0.0364,83,292880
0.446,123.596,0.743,rock,-7.807,0.278,0.0683,82,232107
0.43,91.844,0.515,rock,-9.935,0.104,0.0372,86,238640
0.824,120.125,0.5,rock,-5.846,0.539,0.0388,76,218920
0.767,96.483,0.592,rock,-2.788,0.328,0.027,81,329733
0.952,125.304,0.445,rock,-5.321,0.624,0.0522,84,356067
0.795,158.691,0.464,rock,-9.267,0.612,0.0926,81,202267
0.492,120.151,0.828,rock,-9.744,0.789,0.0276,84,257800
0.881,158.066,0.413,rock,-5.541,0.364,0.0367,81,250547
0.716,94.379,0.535,rock,-5.025,0.901,0.0431,77,175173
0.322,93.503,0.475,rock,-10.687,0.387,0.0283,79,206267
0.394,104.114,0.693,rock,-15.882,0.721,0.0428,74,238747
0.899,152.445,0.475,rock,-4.321,0.603,0.0637,72,230667
0.943,85.064,0.442,rock,-3.205,0.781,0.0602,80,181533
0.345,84.581,0.559,rock,-13.496,0.458,0.0459,82,264307
0.814,147.193,0.673,rock,-5.411,0.728,0.0367,70,252200
0.767,127.361,0.532,rock,-5.509,0.755,0.0574,81,210173
0.863,136.302,0.723,rock,-7.89,0.931,0.0338,76,222813
0.449,100.456,0.486,rock,-10.298,0.549,0.0267,76,254293
0.902,89.74,0.412,rock,-11.6,0.422,0.405,72,333893
0.722,103.886,0.55,rock,-11.729,0.716,0.0283,70,434720
0.944,105.338,0.394,rock,-6.506,0.265,0.0761,77,292581
0.952,122.093,0.398,rock,-6.042,0.584,0.061,72,278680
0.917,171.176,0.356,rock,-6.006,0.518,0.0479,79,357267
0.589,124.634,0.455,rock,-8.64,0.254,0.0328,75,283733
0.805,113.253,0.438,rock,-6.237,0.564,0.0624,72,240800
0.239,189.507,0.446,rock,-13.945,0.298,0.0316,76,336453
0.521,123.118,0.721,rock,-8.123,0.942,0.0613,76,261413
0.67,129.269,0.619,rock,-10.322,0.777,0.0353,71,211933
0.828,105.25,0.539,rock,-9.108,0.562,0.035,70,515387
0.487,114.965,0.73,rock,-10.991,0.731,0.0303,79,226653
0.697,116.109,0.741,rock,-7.028,0.774,0.0277,84,160133
0.579,127.215,0.62,rock,-9.307,0.691,0.0473,69,225627
0.912,116.761,0.502,rock,-4.556,0.72,0.0564,76,301920
0.833,88.785,0.466,rock,-4.215,0.661,0.304,78,313573
0.376,164.775,0.53,rock,-11.913,0.188,0.04,75,259947
0.786,126.755,0.482,rock,-5.735,0.793,0.032,73,323000
0.789,129.802,0.674,rock,-6.903,0.918,0.0676,78,121160
0.441,81.334,0.519,rock,-14.178,0.25,0.0353,76,234973
0.836,113.375,0.743,rock,-6.465,0.82,0.116,80,188987
0.528,109.975,0.932,rock,-6.472,0.757,0.161,71,214653
0.905,128.019,0.602,rock,-4.046,0.411,0.0775,75,304840
0.519,98.883,0.653,rock,-10.164,0.822,0.0497,76,153693
0.946,138.18,0.454,rock,-5.978,0.647,0.13,68,156147
0.828,105.435,0.35,rock,-5.373,0.147,0.041,76,318587
0.349,124.348,0.489,rock,-14.295,0.622,0.0323,70,196467
0.872,159.925,0.587,rock,-5.066,0.735,0.0484,73,221333
0.808,151.008,0.577,rock,-7.04,0.869,0.039,75,290280
0.758,112.113,0.489,rock,-6.491,0.435,0.0297,72,371413
0.932,112.937,0.564,rock,-10.068,0.619,0.0554,75,146250
0.338,177.765,0.388,rock,-10.054,0.478,0.0329,76,303373
0.7,188.386,0.31,rock,-5.678,0.763,0.047,83,255493
0.691,137.145,0.548,rock,-13.553,0.667,0.0369,74,261933
0.532,136.576,0.601,rock,-9.119,0.342,0.0286,79,281613
0.641,203.006,0.256,rock,-10.283,0.382,0.0552,79,281160
0.755,109.535,0.667,rock,-7.246,0.883,0.069,68,286220
0.373,92.718,0.671,rock,-18.064,0.732,0.0323,83,295893
0.927,141.466,0.333,rock,-8.55,0.385,0.0733,75,308120
0.787,126.879,0.767,rock,-9.897,0.964,0.0331,77,266200
0.366,127.163,0.472,rock,-12.595,0.171,0.0286,71,382297
0.864,81.394,0.437,rock,-7.842,0.749,0.0904,69,295387
0.584,170.411,0.509,rock,-4.907,0.685,0.057,69,278747
0.912,117.399,0.575,rock,-7.275,0.843,0.0393,69,207267
0.611,85.387,0.654,rock,-10.45,0.786,0.119,69,235000
0.482,138.453,0.529,rock,-11.709,0.492,0.0599,74,516893
0.748,134.114,0.618,rock,-8.905,0.663,0.358,77,191947
0.7,147.245,0.586,rock,-9.558,0.897,0.0363,69,295400
0.318,104.522,0.575,rock,-16.729,0.385,0.109,74,254173
0.706,80.823,0.445,rock,-9.803,0.768,0.0461,70,266720
0.913,115.728,0.574,rock,-4.793,0.423,0.133,84,208400
0.495,124.936,0.532,rock,-6.662,0.308,0.0343,79,214240
0.875,75.009,0.284,rock,-6.069,0.595,0.0422,73,340907
0.737,103.867,0.662,rock,-9.54,0.744,0.0296,69,329800
0.936,91.577,0.666,rock,-9.919,0.776,0.0476,72,282907
0.432,94.605,0.475,rock,-7.844,0.648,0.0302,79,153467
0.549,176.941,0.516,rock,-13.741,0.907,0.0373,73,288733
0.751,89.839,0.421,rock,-9.584,0.789,0.0472,72,145867
0.938,168.131,0.324,rock,-7.332,0.543,0.102,71,178440
0.953,84.989,0.267,rock,-4.899,0.568,0.096,72,267307
0.919,135.997,0.465,rock,-4.025,0.537,0.0408,73,235293
0.58,127.402,0.741,rock,-9.05,0.944,0.0304,70,171267
0.72,121.864,0.404,rock,-9.18,0.475,0.0623,73,258467
0.927,170.814,0.215,rock,-7.327,0.49,0.0452,72,194853
0.801,133.769,0.651,rock,-7.34,0.776,0.0514,70,200480
0.262,122.861,0.481,rock,-15.73,0.375,0.0414,75,334744
0.449,84.383,0.623,rock,-13.333,0.573,0.0253,75,256000
0.476,148.117,0.389,rock,-9.342,0.566,0.0316,73,217107
0.978,141.167,0.526,rock,-5.436,0.451,0.108,72,210227
0.842,100.127,0.297,rock,-7.457,0.586,0.0488,72,206773
0.944,146.347,0.27,rock,-4.199,0.606,0.0975,70,269920
0.182,136.094,0.349,jazz,-13.507,0.178,0.031,69,191973
0.164,58.303,0.136,classical,-18.756,0.071,0.0364,68,166867
0.00527,170.612,0.184,classical,-37.264,0.151,0.0432,68,315427
0.449,92.468,0.447,classical,-10.634,0.036,0.0376,75,315427
0.812,80.09,0.505,hip-hop,-3.986,0.664,0.461,88,255916
0.507,130.007,0.872,hip-hop,-6.323,0.506,0.072,76,158667
0.802,128.085,0.835,hip-hop,-4.286,0.374,0.243,71,143778
0.533,120.011,0.794,hip-hop,-8.206,0.15,0.0591,73,179023
0.722,119.973,0.769,hip-hop,-5.485,0.57,0.0507,92,256000
0.684,166.976,0.832,hip-hop,-4.691,0.68,0.359,78,149461
0.642,111.907,0.65,hip-hop,-5.332,0.186,0.04,70,127154
0.699,129.054,0.92,hip-hop,-6.635,0.484,0.358,72,138180
0.628,119.98,0.757,hip-hop,-6.715,0.321,0.101,85,217333
0.709,78.53,0.749,hip-hop,-6.385,0.564,0.259,73,181166
0.69,125.951,0.853,hip-hop,-5.858,0.471,0.0647,78,137143
0.754,131.001,0.863,hip-hop,-5.851,0.301,0.0611,77,139197
0.4,106.682,0.608,hip-hop,-9.519,0.089,0.32,69,159228
0.509,157.94,0.662,hip-hop,-9.159,0.549,0.322,70,136709
0.663,143.082,0.76,hip-hop,-4.763,0.209,0.0551,81,148053
0.761,147.216,0.649,hip-hop,-4.204,0.313,0.152,73,150204
0.663,184.057,0.672,hip-hop,-5.984,0.381,0.243,76,138324
0.681,114.991,0.884,hip-hop,-5.839,0.324,0.149,69,184294
0.723,139.942,0.783,hip-hop,-4.881,0.294,0.135,76,278001
0.831,139.905,0.652,hip-hop,-5.972,0.648,0.264,68,150997
0.525,75.013,0.776,hip-hop,-6.723,0.467,0.137,70,217613
0.5,63.925,0.427,hip-hop,-8.269,0.269,0.141,76,180000
0.586,125.845,0.731,hip-hop,-7.564,0.147,0.172,77,199165
0.552,144.941,0.64,hip-hop,-5.679,0.112,0.129,84,228267
0.472,101.061,0.898,hip-hop,-7.001,0.214,0.0776,88,274192
0.859,129.77,0.77,hip-hop,-3.382,0.64,0.275,85,207273
0.685,121.991,0.731,hip-hop,-4.707,0.458,0.12,72,167229
0.578,124.005,0.916,hip-hop,-6.275,0.192,0.124,74,159894
0.574,146.007,0.694,hip-hop,-6.144,0.286,0.0483,79,126356
0.867,131.041,0.902,hip-hop,-3.108,0.799,0.225,68,132338
0.692,140.203,0.637,hip-hop,-7.231,0.427,0.164,73,164366
0.478,104.563,0.675,hip-hop,-10.201,0.39,0.512,69,210286
0.878,82.557,0.661,hip-hop,-4.099,0.514,0.31,87,165413
0.396,78.022,0.726,hip-hop,-9.121,0.413,0.283,73,197428
0.711,117.038,0.974,hip-hop,-5.206,0.328,0.194,72,126832
0.527,77.499,0.824,hip-hop,-5.506,0.212,0.118,74,155391
0.752,158.042,0.638,hip-hop,-6.227,0.242,0.0385,72,170188
0.826,108.52,0.654,hip-hop,-2.93,0.417,0.354,71,256227
0.472,101.061,0.898,hip-hop,-7.001,0.214,0.0776,88,274192
0.764,140.113,0.882,hip-hop,-5.241,0.886,0.204,81,140733
0.552,144.941,0.64,hip-hop,-5.679,0.112,0.129,84,228267
0.632,123.987,0.848,hip-hop,-7.381,0.253,0.277,68,171198
0.805,142.096,0.548,hip-hop,-5.732,0.649,0.351,76,216387
0.631,121.854,0.772,hip-hop,-5.082,0.433,0.0431,70,173253
0.702,125.089,0.871,hip-hop,-8.025,0.675,0.253,69,131286
0.57,142.974,0.787,hip-hop,-5.881,0.733,0.225,69,223879
0.583,116.624,0.709,hip-hop,-5.298,0.533,0.204,79,182667
0.592,159.98,0.82,hip-hop,-7.002,0.4,0.29,78,196180
0.68,144.006,0.85,hip-hop,-6.18,0.694,0.338,70,173333
0.758,165.409,0.681,hip-hop,-6.524,0.331,0.188,73,220584
0.413,131.964,0.772,hip-hop,-8.194,0.211,0.0891,77,246213
0.658,151.951,0.752,hip-hop,-6.297,0.387,0.342,70,213520
0.732,142.791,0.548,hip-hop,-5.652,0.612,0.336,71,127547
0.676,143.477,0.594,hip-hop,-5.808,0.472,0.344,69,181145
0.618,99.7,0.49,hip-hop,-5.655,0.286,0.104,68,201600
0.35,77.528,0.822,hip-hop,-12.207,0.346,0.574,68,186000
0.946,150.141,0.804,hip-hop,-5.949,0.745,0.352,70,146880
0.626,143.01,0.819,hip-hop,-4.574,0.415,0.202,78,195906
0.592,188.051,0.696,hip-hop,-6.281,0.232,0.319,72,122680
0.547,138.05,0.92,hip-hop,-4.98,0.606,0.272,70,89536
0.395,76.984,0.793,hip-hop,-5.578,0.128,0.385,69,213287
0.774,130.007,0.867,hip-hop,-5.791,0.549,0.315,69,142498
0.449,136.006,0.578,hip-hop,-6.349,0.1,0.286,73,192956
0.673,165.921,0.529,hip-hop,-4.711,0.366,0.175,80,218365
0.73,156.953,0.729,hip-hop,-5.14,0.41,0.261,75,191399
0.487,127.05,0.964,hip-hop,-6.071,0.108,0.421,77,154024
0.732,149.012,0.841,hip-hop,-5.186,0.576,0.19,73,143480
0.611,134.093,0.711,hip-hop,-5.453,0.144,0.33,79,252262
0.733,130.029,0.847,hip-hop,-6.439,0.202,0.16,80,193591
0.48,143.029,0.846,hip-hop,-8.618,0.419,0.359,68,169532
0.575,120.031,0.88,hip-hop,-6.091,0.671,0.163,71,232048
0.727,150.062,0.477,hip-hop,-4.053,0.227,0.286,70,236524
0.495,137.027,0.853,hip-hop,-14.63,0.0774,0.14,68,243228
0.434,150.062,0.833,hip-hop,-8.795,0.281,0.431,81,204600
0.564,77.972,0.856,hip-hop,-6.295,0.483,0.392,70,135960
0.67,139.956,0.79,hip-hop,-5.527,0.408,0.105,75,195950
0.733,97.974,0.825,hip-hop,-5.625,0.62,0.0969,75,190331
0.567,75.965,0.574,hip-hop,-7.126,0.526,0.465,78,229938
0.434,150.062,0.833,hip-hop,-8.795,0.281,0.431,81,204600
0.665,94.329,0.583,hip-hop,-3.885,0.463,0.18,75,155368
0.346,119.957,0.963,hip-hop,-9.309,0.562,0.53,75,142273
0.577,148.107,0.797,hip-hop,-5.617,0.17,0.195,72,206031
0.59,119.97,0.88,hip-hop,-4.709,0.723,0.204,68,170000
0.631,129.902,0.807,hip-hop,-4.883,0.126,0.111,70,213613
0.413,131.964,0.772,hip-hop,-8.194,0.211,0.0891,77,246213
0.822,165.946,0.513,hip-hop,-4.51,0.768,0.383,69,204668
0.666,127.079,0.926,hip-hop,-5.314,0.168,0.244,70,343150
0.575,145.95,0.713,hip-hop,-6.706,0.189,0.0501,72,226400
0.586,124.041,0.808,hip-hop,-7.242,0.568,0.169,68,263288
0.676,162.012,0.814,hip-hop,-4.67,0.312,0.231,83,267707
0.928,109.966,0.616,hip-hop,-2.34,0.23,0.043,70,230182
0.542,135.14,0.926,hip-hop,-5.064,0.564,0.293,70,181929
0.637,135.055,0.851,hip-hop,-6.149,0.616,0.104,73,179556
0.718,128.14,0.76,hip-hop,-3.017,0.557,0.232,72,191295
0.748,115.01,0.752,hip-hop,-3.755,0.497,0.0895,70,295304
0.536,119.967,0.689,hip-hop,-8.861,0.349,0.174,69,341135
0.531,118.96,0.566,hip-hop,-6.635,0.367,0.0716,73,227518
0.657,124.992,0.883,hip-hop,-5.748,0.284,0.305,77,172933
0.88,92.055,0.753,hip-hop,-3.165,0.582,0.081,73,127826
0.496,86.003,0.889,hip-hop,-6.365,0.544,0.0905,74,180522
0.708,96.914,0.712,hip-hop,-5.715,0.634,0.247,71,165773
0.696,120.146,0.744,hip-hop,-5.015,0.406,0.117,69,260493
0.629,140.101,0.523,hip-hop,-4.058,0.209,0.0549,68,283121
0.735,99.827,0.697,hip-hop,-4.16,0.403,0.0497,73,162970
0.671,147.037,0.607,hip-hop,-6.934,0.316,0.0863,68,137143
0.486,110.964,0.784,hip-hop,-6.497,0.0894,0.0475,80,265996
0.583,116.624,0.709,hip-hop,-5.298,0.533,0.204,79,182667
0.385,129.958,0.69,hip-hop,-8.444,0.19,0.0817,68,226101
0.411,172.445,0.722,hip-hop,-9.963,0.503,0.387,70,142026
0.484,133.03,0.93,hip-hop,-5.486,0.747,0.259,70,144361
0.6,113.903,0.883,hip-hop,-7.188,0.691,0.37,72,156430
0.73,155.008,0.834,hip-hop,-3.714,0.446,0.222,81,312820
0.668,87.973,0.573,hip-hop,-4.356,0.145,0.0467,82,199920
0.603,135.993,0.735,hip-hop,-9.474,0.429,0.203,71,326937
0.637,171.264,0.567,afrobeats,-4.032,0.882,0.298,68,131765
0.874,118.079,0.774,afrobeats,-5.641,0.927,0.0488,75,174053
0.792,113.981,0.749,afrobeats,-4.621,0.903,0.0402,76,172632
0.812,100.049,0.455,afrobeats,-3.455,0.823,0.211,68,184249
0.648,93.2,0.737,afrobeats,-5.493,0.746,0.138,77,259354
0.814,93.482,0.683,afrobeats,-3.505,0.758,0.0466,78,156826
0.683,145.379,0.501,afrobeats,-7.881,0.623,0.211,71,161379
0.634,101.837,0.502,afrobeats,-3.367,0.645,0.144,72,219628
0.651,112.648,0.694,latin,-6.968,0.471,0.0784,93,225881
0.581,99.973,0.805,latin,-5.091,0.528,0.0601,86,177600
0.563,105.008,0.833,latin,-5.593,0.343,0.204,82,182857
0.737,101.923,0.779,latin,-4.667,0.445,0.109,76,170366
0.662,95.999,0.863,latin,-5.855,0.307,0.21,72,248363
0.482,100.029,0.69,latin,-6.335,0.356,0.2,88,149074
0.668,128.027,0.924,latin,-6.795,0.787,0.0469,93,195824
0.762,90.025,0.816,latin,-2.864,0.782,0.0565,72,218701
0.718,105.002,0.848,latin,-4.385,0.564,0.0557,74,165901
0.712,91.98,0.848,latin,-3.574,0.692,0.0981,84,298131
0.627,155.865,0.687,latin,-4.975,0.47,0.181,78,206066
0.483,171.831,0.753,latin,-6.436,0.826,0.273,72,177209
0.724,101.097,0.556,latin,-3.165,0.681,0.119,82,246889
0.442,100.021,0.776,latin,-8.99,0.838,0.0575,81,136944
0.614,119.893,0.658,latin,-6.981,0.465,0.0324,79,178337
0.681,155.079,0.56,latin,-6.304,0.388,0.244,89,223320
0.719,104.033,0.707,latin,-4.963,0.701,0.0395,76,162205
0.536,97.541,0.716,latin,-7.798,0.359,0.0328,84,240669
0.594,125.01,0.694,latin,-8.39,0.672,0.0366,75,307565
0.752,100.076,0.841,latin,-4.735,0.67,0.105,86,214643
0.709,194.055,0.744,latin,-5.778,0.712,0.284,79,130880
0.707,82.045,0.786,latin,-4.386,0.691,0.0635,84,225373
0.832,98.582,0.742,latin,-4.267,0.716,0.0325,82,195846
0.616,104.008,0.773,latin,-4.516,0.25,0.0416,72,190107
0.689,120.208,0.724,latin,-7.174,0.936,0.0524,89,146141
0.74,117.955,0.748,latin,-3.643,0.618,0.0387,75,198607
0.856,136,0.691,latin,-5.035,0.713,0.0536,75,157500
0.464,79.503,0.373,latin,-8.606,0.301,0.256,80,237908
0.783,103.001,0.705,latin,-4.783,0.454,0.0403,86,172427
0.631,111.93,0.706,latin,-5.812,0.289,0.0366,80,171429
0.445,156.023,0.55,latin,-9.548,0.512,0.0847,73,166159
0.764,148.853,0.666,latin,-6.297,0.729,0.116,85,163115
0.162,184.784,0.459,latin,-11.634,0.483,0.0425,79,153609
0.834,139.995,0.783,latin,-4.623,0.92,0.029,81,160714
0.682,100.036,0.75,latin,-3.825,0.618,0.0945,79,165178
0.578,199.997,0.734,latin,-4.147,0.88,0.295,82,142022
0.513,109.935,0.745,latin,-9.116,0.929,0.087,88,154620
0.824,124.997,0.747,latin,-4.353,0.793,0.0348,77,168547
0.787,165.07,0.809,latin,-3.826,0.9,0.125,68,148152
0.356,169.653,0.529,latin,-6.612,0.659,0.0569,85,150523
0.806,123.009,0.763,latin,-4.946,0.594,0.0532,73,193521
0.872,128.924,0.816,latin,-4.27,0.94,0.0442,77,157209
0.896,90.622,0.662,latin,-5.311,0.79,0.251,68,305280
0.59,161.989,0.864,latin,-8.768,0.579,0.499,69,168560
0.63,81.009,0.72,indian,-5.549,0.512,0.0413,70,230292
0.573,82.941,0.603,indian,-5.843,0.236,0.0502,68,228855
0.468,135.875,0.483,indian,-7.642,0.319,0.0341,73,247941
0.519,122.925,0.562,indian,-8.744,0.415,0.0326,70,341055
0.481,124.914,0.534,indian,-9.016,0.293,0.0412,71,280282
0.866,140.266,0.526,rock,-5.822,0.248,0.0568,84,253587
0.903,132.009,0.562,rock,-4.46,0.791,0.0296,68,221000
0.585,109.942,0.775,rock,-9.516,0.518,0.0271,74,337560
0.957,105.105,0.606,rock,-3.404,0.603,0.0814,72,213800
0.94,100.99,0.438,rock,-3.249,0.421,0.0452,73,261000
0.795,79.028,0.801,rock,-5.115,0.754,0.0504,81,163253
0.509,119.945,0.578,rock,-6.229,0.586,0.0279,80,74379
0.62,117.038,0.741,rock,-5.505,0.934,0.0412,79,251424
0.643,103.842,0.633,rock,-8.122,0.472,0.0252,78,130385
0.593,120.509,0.565,rock,-5.864,0.429,0.0883,78,157974
0.749,164.959,0.593,rock,-5.67,0.649,0.0475,77,309053
0.518,151.891,0.815,rock,-6.594,0.877,0.0897,77,177667
0.846,103.912,0.611,rock,-5.9,0.751,0.0436,77,162920
0.924,168.017,0.598,rock,-4.974,0.611,0.0623,76,162339
0.828,112.056,0.654,rock,-5.377,0.79,0.0281,76,183893
0.901,113.967,0.621,rock,-5.396,0.744,0.0302,74,300773
0.509,119.869,0.898,rock,-7.973,0.727,0.062,74,181507
0.94,100.99,0.438,rock,-3.249,0.421,0.0452,73,261000
0.572,131.272,0.636,rock,-7.797,0.66,0.0913,73,192128
0.603,102.99,0.66,rock,-7.7,0.527,0.025,73,214087
0.798,126.976,0.502,rock,-5.909,0.307,0.0414,72,234933
0.684,209.688,0.633,rock,-4.314,0.725,0.591,71,213573
0.351,87.057,0.665,rock,-9.424,0.451,0.0276,71,126120
